Name	C0	C1	C2
ZNF467	9.53174467912219	12.625875250226175	15.685208771587604
CHRDL1	16.448715191463464	16.351561247893425	5.156058513100084
POLR1B	30.19133749098673	12.630289267773856	12.166787636121473
CTXN1	19.514142604245066	5.249599962696163	21.830629968206583
FUCA2	27.8134867519825	18.34830646225203	19.921505898050317
NXT2	23.362491657046082	11.63526777991952	12.175833003868078
SASS6	22.12579171315084	6.89686932574944	7.70622119224689
DIDO1	30.21115841055126	19.827057135184393	17.329679528996525
BPHL	21.055490583188796	10.304289400353127	16.17594734269379
UGGT2	23.77137081965937	12.77901938541885	7.605787770267889
CDKN1C	15.849375497320983	11.464996624683579	14.194780581779542
CEP135	20.688015483333903	10.383918018089492	5.583926613934276
ACOX1	30.04553303241953	19.269349594402705	16.087116459086747
EXD2	24.425915696875613	15.74501250915	11.465316560159716
